收盘价,成交量
2316.052,60594622
2306.85,68687579
2295.946,71633722
2318.924,78454349
2289.791,59941982
2305.856,64197967
2281.447,67924641
2293.13,60232048
2309.555,58532028
2311.916,66078528
2308.55,90179347
2373.436,77021923
2372.234,77890228
2384.668,89809793
2389.636,117157725
2361.367,94962105
2333.553,74019252
2350.973,79206805
2363.437,84216580
2373.307,76779780
2348.3,74840341
2344.52,89689419
2378.886,86870030
2346.192,76733829
2374.843,77922916
2380.725,90526339
2394.983,74863995
2410.23,81698471
2408.587,97902212
2448.884,104855537
2451.947,108830107
2452.014,102204871
2440.08,102248493
2438.436,128006006
2396.316,91228350
2404.697,115529587
2406.813,130972867
2388.834,133722354
2388.588,122907558
2406.863,115522062
2378.634,94272421
2380.848,108612544
2334.985,84688445
2357.026,85322682
2359.161,98774414
2350.864,97687895
2308.925,75130070
2305.863,67345526
2285.777,59760639
2306.553,72136521
2302.241,80101456
2262.788,62024147
2252.16,74248084
2284.881,83645283
2347.179,60881116
2350.599,55427733
2349.539,76862139
2375.772,79348880
2378.195,95686538
2376.839,97903935
2410.184,102153490
2404.736,103675622
2373.774,120025499
2391.23,179786029
2455.795,104649712
2434.859,106223059
2439.462,100624055
2420.276,96782134
2394.794,94790636
2410.445,103709012
2445.002,112693326
2460.693,103228378
2426.115,75083289
2428.487,95536952
2451.857,118361993
2447.057,158073244
2439.628,134903249
2409.554,112553593
2403.587,118684269
2381.43,79348669
2363.597,88911586
2357.181,71924839
2356.86,95051169
2366.702,98861021
2344.771,73130413
2351.855,86263585
2351.981,96501619
2349.589,98032325
2347.53,87114528
2291.902,67326906
2331.136,75734477
2330.405,78943697
2312.556,63471872
2268.08,53553811
2292.61,48738325
2285.038,58413687
2319.118,69922753
2296.075,72498861
2266.384,89940422
2298.376,87803560
2206.193,45859522
2244.58,71474322
2275.01,71569994
2276.046,84441781
2285.744,109585415
2225.89,76759839
2163.395,50583054
2148.452,58743447
2169.39,49245537
2199.417,51943838
2173.561,44749200
2170.013,49633435
2166.205,45712179
2190.11,43613663
2204.784,52421325
2186.297,58986117
2191.148,50877262
2215.93,52761113
2218.235,57818464
2224.84,57265903
2180.895,56712186
2228.525,44079822
2248.59,58627478
2291.545,39632578
2315.27,39988559
2329.82,51473520
2332.73,41570306
2325.905,45917077
2333.229,52214969
2360.664,59868845
2386.86,98650046
2333.414,76611104
2412.393,55123190
2383.034,46064666
2380.224,45362552
2397.554,52154150
2395.065,50547850
2412.625,51443233
2415.13,50170366
2416.562,72180807
2463.046,66414285
2466.959,93382109
2529.761,79227750
2528.714,81229812
2481.084,66137668
2479.536,87111088
2524.919,78208572
2503.836,78672656
2509.799,78867174
2528.294,101873675
2508.09,136576325
2504.108,105468200
2470.019,88892417
2468.25,84172562
2473.41,110032721
2435.614,82408961
2427.48,107447168
2409.672,90888876
2370.333,70874071
2317.275,48436725
2331.366,65425215
2377.512,58534637
2383.485,79525744
2440.402,58267682
2431.375,60673160
2438.79,87860106
2420,91508568
2348.516,63975806
2344.787,41745306
2359.22,48818372
2365.343,59191239
2392.062,55758447
2415.054,55231432
2393.183,57425042
2433.159,67302693
2443.057,74695409
2512.963,86689276
2447.755,46265892
2437.795,48746822
2482.343,47986854
2479.055,56003688
2484.827,54065977
2471.305,49930919
2497.753,51253380
2498.943,55271952
2516.09,59665860
2470.524,49223173
2478.739,55031066
2528.28,54436581
2556.042,57290927
2567.34,59169720
2566.595,75910686
2576.413,73696095
2612.188,77850450
2615.261,104537978
2541.091,65462469
2554.019,60944193
2515.863,61214429
2534.358,70606801
2559.472,70989277
2601.261,70109146
2608.166,85226861
2626.77,88676842
2593.173,97171206
2581.508,95597265
2549.176,100369343
2526.07,103723892
2526.816,110302496
2626.423,78571833
2684.039,58872111
2678.485,63981610
2679.259,69993181
2703.783,59000711
2701.729,75471655
2708.777,78474915
2723.492,80407781
2703.026,72881454
2688.746,111242249
2770.79,70211837
2765.894,81760582
2794.205,84030616
2796.983,92740884
2816.688,108108623
2820.169,107470064
2810.444,104502080
2795.476,91929128
2754.582,96674475
2802.692,86063595
2797.774,86211609
2794.267,116512143
2810.479,103104393
2816.355,110124224
2812.818,121962260
2759.362,92072878
2762.076,90967124
2728.483,88224197
2759.202,88277450
2758.23,101601018
2746.211,125773628
2688.249,73772688
2649.321,58313802
2646.483,64821871
2621.253,60059864
2642.818,64442633
2664.283,70927870
2705.431,74856945
2730.04,83097514
2700.379,63069459
2705.143,73400294
2703.345,83469268
2750.288,74294661
2744.3,65021293
2728.02,67983945
2705.181,86021158
2743.572,68555501
2743.472,67900383
2706.361,65174388
2709.947,82521052
2736.527,78741315
2741.741,74406534
2767.056,74852898
2774.569,98622045
2858.459,70743786
2859.574,76994538
2872.771,76826970
2852.773,94819847
2849.067,84648251
2871.031,93238815
2844.083,100240961
2883.42,92477122
2890.634,81297176
2872.46,81576155
2863.886,91063909
2872.404,91084427
2866.017,111481131
2932.188,96402722
2911.511,87534255
2887.044,105230875
2925.408,105492475
2938.981,95154819
2964.951,117316622
3010.517,118525613
3026.668,121510664
3007.037,119741657
2999.041,141896394
3057.329,137488739
3050.526,128530989
3042.635,129487107
3050.398,128202655
3021.369,145990547
3022.746,147189576
3030.021,114337794
3007.909,124734591
3001.36,141650613
2967.41,99844094
2928.111,108935611
2955.771,126493548
2958.077,168543246
2984.005,156016878
2977.814,136396367
2946.706,108955979
2948.477,112603475
2919.142,95117457
2909.137,96760275
2906.886,100637335
2897.298,137797827
2930.804,130777237
2896.256,154951951
2937.627,116910618
2933.796,115994480
2957.143,123799889
3002.154,124790735
2999.942,126681154
2996.211,160105884
2942.306,118277241
2902.978,150488884
2913.808,133442258
2918.92,136555048
2905.053,118705763
2878.565,100094039
2878.603,109772588
2862.634,111083059
2855.516,153004622
2932.246,118855883
2899.792,113775463
2926.964,130415498
2923.896,127805697
2899.237,152449898
2899.134,154242970
2827.328,107758171
2818.163,97919763
2774.065,87257788
2798.96,73350092
2790.694,91502814
2752.75,85427992
2749.15,105569163
2708.814,60750899
2677.432,69481412
2695.72,87920807
2715.294,95639038
2677.652,86047191
2758.097,78493169
2708.979,60377276
2706.66,92519113
2791.344,76753880
2827.713,74886265
2821.305,79246117
2804.047,80553780
2791.809,90780872
2838.801,113129568
2824.197,84705616
2838.593,104415282
2852.648,110072791
2808.077,83350214
2759.575,73172046
2751.527,63941278
2732.99,84332632
2781.402,97807278
2835.157,81216848
2855.22,89002488
2877.9,98325557
2904.115,106825623
2852.916,113755495
2893.74,73677136
2898.138,87606313
2911.414,109462489
2927.077,120944936
2922.954,128878468
2841.04,80496108
2810.949,94622552
2848.546,86707379
2875.861,86785497
2857.178,89773055
2842.431,83521010
2843.607,104195755
2823.449,81263296
2820.181,139324863
2866.356,102452542
2871.698,110866191
2898.261,131608453
2859.936,116156238
2828.282,116311956
2884.371,127117716
2888.566,123778460
2865.452,102226182
2838.857,123780261
2894.538,171089373
3014.413,153152448
2985.435,233084958
3147.744,210274743
3115.356,185052423
3135,192455746
3159.512,205417960
3129.497,211955803
3086.939,176857096
3030.988,189848032
3045.434,224947283
3054.021,186243180
2978.835,147109754
2992.579,143537933
2997.048,176268280
3041.543,198778908
3051.419,192114243
2975.043,147079881
2983.533,161436141
3003.951,207804424
3001.853,170667828
2955.227,263316938
2971.16,236568558
2879.636,229461709
2861.361,185281671
2841.407,167428327
2806.942,207535265
2738.744,135759543
2655.658,89580361
2610.678,88618663
2611.354,93117430
2627.967,76844658
2591.55,58101406
2588.713,79469519
2598.689,83171357
2602.465,118998200
2652.503,122039815
2688.522,120712410
2688.32,117918914
2663.209,113041151
2656.352,132989434
2695.291,113519409
2698.363,112231539
2696.25,144209066
2655.394,129456526
2655.776,124076238
2622.882,127164940
2638.798,110890245
2652.664,110479525
2610.742,70466094
2603.481,80313857
2596.58,109695828
2650.307,107243639
2639.366,88136539
2642.307,116172184
2687.979,128441613
2666.301,136254348
2671.893,122638294
2661.708,125862823
2606.7,88820450
2575.475,92675203
2607.497,86941461
2595.274,127010021
2672.533,119964750
2658.392,120927286
2620.757,113514382
2638.522,112123737
2627.002,127971094
2672.516,112944633
2637.503,94773788
2648.116,139123605
2633.663,128979538
2575.368,86605236
2588.683,93326486
2572.028,114373149
2562.406,105934217
2535.394,114247832
2528.73,118598374
2475.421,88838962
2424.271,70793303
2424.304,105539239
2470.44,72946145
2450.286,66327019
2490.718,82922349
2470.923,85890148
2415.15,54485954
2421.117,56110700
2409.424,61364295
2363.947,47996452
2382.901,68329570
2373.792,49967686
2398.37,55210569
2427.053,73744904
2535.278,43203938
2552.817,50078852
2566.745,48856571
2569.872,58776822
2588.698,63681459
2586.21,78554425
2513.222,67218453
2560.245,54957039
2569.942,66519280
2562.58,74583964
2583.87,96030984
2513.947,63032468
2511.729,65697988
2553.593,56518495
2552.656,69502328
2571.423,64866634
2568.283,74666113
2592.147,78743882
2655.767,86947998
2655.918,87883569
2625.793,68710464
2622.63,93269050
2673.423,112497272
2583.522,83856090
2555.94,66390044
2587.807,71372186
2594.783,82792386
2559.931,82648326
2696.629,73368024
2710.507,83077733
2655.714,82544160
2647.574,87897107
2698.757,81854050
2688.383,92026260
2739.702,92649316
2857.151,95340578
2835.277,66079844
2870.611,88734444
2868.432,89344434
2900.331,83749411
2907.928,108271273
2969.503,89146675
2983.537,103518713
2999.484,121726664
3033.278,116308514
2979.533,101732249
2980.297,129360505
3130.302,80934918
3164.966,106263908
